program_category,default_channel,Landing_page,Session,sessions_yoy_difference,Pageview,pageview_yoy_difference,Conversions,conversions_yoy_difference,Conversion_Rate,conversion_rate_yoy_percent_difference
CyberEng,Organic Search,/black-vs-gray-vs-white-hat-hackers/,45,-200,44,-193,0,0,0,0
MTS,Organic Search,/religious-vocational-discernment/,44,-201,42,-221,0,0,0,0
Default - (not set),Organic Search,/bringing-a-product-to-market/,44,,44,,0,,0,
Default - (not set),Organic Search,/programs/,44,,56,,0,,0,
MED,Organic Search,/teach-in-private-or-public-school/,43,39,51,46,0,0,0,0
CyberEng,Direct,/masters-cyber-security-engineering/apply/,43,-2,41,-23,0,-1,0,-0.022222222222222223
MED,Direct,/best-teacher-blogs/,43,-20,66,-4,0,-1,0,-0.015873015873015872
CyberEng,Organic Search,/cyber-security-salary-california/,42,,43,,0,,0,
MSHA,Direct,/masters-humanitarian-action/,42,-8,85,17,0,0,0,0
MSHA,Direct,/theory-of-change/,42,17,40,7,0,0,0,0
MTS,Organic Search,/liturgy-of-the-hours/,42,,40,,0,,0,
MSNP,Organic Search,/grant-writer-career/,41,22,43,25,0,0,0,0
MSLDT,Organic Search,/how-to-become-a-curriculum-designer/,41,-143,49,-171,2,-1,0.04878048780487805,0.03247613997879109
MED,Direct,/rethinking-education-assessment-types/,40,-29,40,-43,0,0,0,0
CyberEng,Organic Search,/cyber-crime-investigator-career/,40,-227,41,-236,0,0,0,0
CyberEng,Organic Search,/cybersecurity-vs-it-degree/,40,-48,42,-46,0,0,0,0
