program_category,default_channel,Landing_page,Session,sessions_yoy_difference,Pageview,pageview_yoy_difference,Conversions,conversions_yoy_difference,Conversion_Rate,conversion_rate_yoy_percent_difference
Data Science,Organic Search,/change-career-to-data-science/,1,-1,1,-1,0,0,0,0
EML,Referral,/engineering-masters-degrees/,1,,1,,0,,0,
Data Science,Direct,/business-intelligence-developer/,1,-5,1,-8,0,-1,0,-0.16666666666666666
Data Science,Organic Search,/top-online-cloud-computing-courses/,1,-10,1,-10,0,0,0,0
Data Science,Paid Social,/masters-applied-data-science/,1,,1,,0,,0,
Data Science,Direct,/,1,-27,1,-115,0,-2,0,-0.07142857142857142
EML,Organic Search,/master-of-engineering-management-careers/,1,-32,1,-34,0,0,0,0
EML,Direct,/employer-partnership/,1,,3,,0,,0,
Data Science,Paid Search,/search/communication/,1,,1,,0,,0,
Data Science,Paid Search,/search/strategic+communication/,1,,1,,0,,0,
EML,Email,/masters-engineering-management-leadership/lp/mseml-email-lp/,1,0,2,0,0,0,0,0
EML,Direct,/master-of-engineering-management-careers/,1,-2,1,-2,0,0,0,0
Data Science,Direct,.translate.goog/financial-analyst-career/,1,,1,,0,,0,
Data Science,Direct,/faculty/roozbeh-sadeghian/,1,,1,,0,,0,
Data Science,AI Traffic,/supervised-machine-learning-with-gradient-boosting/,1,0,1,0,0,0,0,0
Data Science,Referral,/resources/msads-request-program-brochure/,1,0,1,1,0,0,0,0
EML,Organic Search,/masters-cyber-security-engineering/,1,,10,,0,,0,
Data Science,Direct,/faculty/wanghuizi-gao/,1,,1,,0,,0,
Data Science,Organic Social,/coding-salary/,1,,1,,0,,0,
Data Science,Unknown - blog / inlinecta,/resources/questions-to-ask-masters-data-science-checklist/,1,,1,,0,,0,
Data Science,Direct,/advisory-board/jules-malin/,1,0,1,0,0,0,0,0
Data Science,Organic Search,.translate.goog/data-architect-career/,1,0,1,0,0,0,0,0
Data Science,Direct,elling-with-data-part-1/,1,,1,,0,,0,
Data Science,Direct,/women-in-data-science-where-we-are-where-were-going-and-why-it-matters/,1,,1,,0,,0,
EML,Organic Search,/search/engineering+positions/,1,,1,,0,,0,
Data Science,Organic Social,/applications-of-data-science-in-healthcare/,1,,1,,0,,0,
Data Science,Organic Search,/advisory-board/michael-cavaretta-ms-phd/,1,,2,,0,,0,
EML,Organic Search,/best-jobs-for-mba-graduates/,1,,7,,0,,0,
Data Science,Referral,/faculty/sean-coyne/,1,,1,,0,,0,
EML,Organic Search,/faculty/mandeep-kaur/,1,-4,1,-4,0,0,0,0
Data Science,Organic Search,.translate.goog/quantitative-analyst-career/,1,-3,1,-3,0,0,0,0
EML,Direct,/resources/from-engineer-to-leader-ebook-thank-you-2/,1,,1,,1,,1,
Data Science,AI Traffic,/when-inference-meets-prediction-navigating-the-line-between-statistical-models-and-machine-learning/,1,,1,,0,,0,
Data Science,Organic Search,.translate.goog/supervised-machine-learning-with-gradient-boosting/,1,,1,,0,,0,
Data Science,Organic Search,/resources/msads-request-program-brochure/,1,,0,,0,,0,
EML,Paid Social,/masters-engineering-management-leadership/curriculum/,1,,1,,0,,0,
EML,Organic Search,/faculty/john-reese/,1,,1,,0,,0,
Data Science,Direct,/usd-partners-with-ready-tensor-for-data-science-hackathon/,1,0,1,0,0,0,0,0
Data Science,Organic Search,/faculty/parastoo-qarabaqi/,1,-1,1,-1,0,0,0,0
Data Science,Organic Search,/faculty/satya-varaprasad-allumallu/,1,-2,1,-4,0,0,0,0
Data Science,Direct,/faculty/eric-colson/,1,,1,,0,,0,
